ts;event_type;action;summary;modul;status;provider;model;token_in;token_out;duration_ms
2026-03-27T17:42:05.032;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.962;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.917;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.875;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.828;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.783;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.747;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.701;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.666;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.620;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.567;kira;mail_classified;Ihr Jahresabschluss und Steuererklärungen 2024;mail_monitor;ok;;;;;
2026-03-27T17:42:04.517;kira;mail_classified;Your receipt from Anthropic, PBC #2316-3064-2375;mail_monitor;ok;;;;;
2026-03-27T17:42:04.470;kira;mail_classified;Your receipt from Anthropic, PBC #2316-3064-2375;mail_monitor;ok;;;;;
2026-03-27T17:41:58.855;kira;mail_classified;Achtung. Wir haben bemerkt, dass Sie kürzlich eine große  Anzahl Dateien von Ihrem OneDrive gelöscht;mail_monitor;ok;;;;;
2026-03-27T17:41:58.808;kira;mail_classified;Betonkosmetik (de- de) " \ "Search Listening Alert: 6 " \ "new search
 terms";mail_monitor;ok;;;;;
2026-03-27T17:41:58.753;kira;mail_classified;Alice  Knackfuss-Defrenne hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgel;mail_monitor;ok;;;;;
2026-03-27T17:41:58.713;kira;mail_classified;Betonkosmetik (de- de) " \ "Search Listening Alert: 10 " \ "new
 search terms";mail_monitor;ok;;;;;
2026-03-27T17:41:58.677;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.630;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.579;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.536;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.493;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.451;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.414;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.369;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.333;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.285;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.221;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.177;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.131;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:58.079;kira;mail_classified;Stefan Huber hat neue Dateien zu Ihrer Anforderung für  "Anfrage Medien Upload" hochgeladen.;mail_monitor;ok;;;;;
2026-03-27T17:41:56.489;kira;mail_classified;Rückruf anfragenmit rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:41:56.445;kira;mail_classified;RE: rauMKult Sichtbeton® für Freude am Beton "Marc Legler und rauMKult® - pure surface art-20250926_;mail_monitor;ok;;;;;
2026-03-27T17:41:56.396;kira;mail_classified;rauMKult  Sichtbeton® für  Freude am Beton "Marc Legler und  rauMKult®  - pure surface art-20250926_;mail_monitor;ok;;;;;
2026-03-27T17:41:56.346;kira;mail_classified;rauMKult  Sichtbeton® für  Freude am Beton "Marc Legler und  rauMKult®  - pure surface art-20250926_;mail_monitor;ok;;;;;
2026-03-27T17:41:56.301;kira;mail_classified;geplante Besprechung;mail_monitor;ok;;;;;
2026-03-27T17:41:56.260;kira;mail_classified;Test;mail_monitor;ok;;;;;
2026-03-27T17:41:56.221;kira;mail_classified;Beratung;mail_monitor;ok;;;;;
2026-03-27T17:41:56.148;kira;mail_classified;Danke für das Gespräch & hilfreiche Videoempfehlung;mail_monitor;ok;;;;;
2026-03-27T17:41:56.084;kira;mail_classified;Anfrage Fugenlos - Mikrozement SPA Sachsenbaude Oberwiesenthal;mail_monitor;ok;;;;;
2026-03-27T17:41:56.007;kira;mail_classified;Re: Anfrage Sichtbetonwand Medler / 36041 Fulda ;mail_monitor;ok;;;;;
2026-03-27T17:41:55.718;kira;mail_classified;Re: Telefonnumer;mail_monitor;ok;;;;;
2026-03-27T17:41:55.626;kira;mail_classified;Telefonnumer;mail_monitor;ok;;;;;
2026-03-27T17:41:55.564;kira;mail_classified;Ihre Anfrage für Fugenlose Oberflächen im Bad;mail_monitor;ok;;;;;
2026-03-27T17:41:55.467;kira;mail_classified;Preis-Update zur Betonretusche | Neubau U-Bahn München;mail_monitor;ok;;;;;
2026-03-27T17:41:55.401;kira;mail_classified;Re: Erinnerung: Rückruf anfragen mit Fabian Bieringer am Montag, 26. Januar 2026 um 09:00 (Mitteleur;mail_monitor;ok;;;;;
2026-03-27T17:41:55.361;kira;mail_classified;Rückruf anfragenmit rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:41:55.317;kira;mail_classified;Rückruf anfragenmit rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:41:55.264;kira;mail_classified;Abgesagt: Erstgespräch 'Betonkosmetik' : Ihr Projekt beginnt hiermit rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:41:55.217;kira;mail_classified;Erstgespräch 'Betonkosmetik' : Ihr Projekt beginnt hiermit rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:41:55.161;kira;mail_classified;Abgesagt: Erstgespräch 'Betonkosmetik' : Ihr Projekt beginnt hiermit rauMKult® - pure surface art;mail_monitor;ok;;;;;
2026-03-27T17:40:07.905;ui;kira_workspace_open;Kira Workspace geoeffnet;ui;ok;;;;;
2026-03-27T17:39:29.860;ui;kira_workspace_closed;Kira Workspace geschlossen;ui;ok;;;;;
2026-03-27T17:39:03.823;ui;new_kira_chat;Neuer Kira-Chat gestartet;ui;ok;;;;;
2026-03-27T17:38:44.801;ui;kira_conv_loaded;Konversation geladen;ui;ok;;;;;
2026-03-27T17:38:12.298;llm;chat_completed;KIRA Assiztenz Open AI | 4847→12 Tokens | 0 Tools;kira;ok;KIRA Assiztenz Open AI;gpt-4o;4847;12;
2026-03-27T17:38:07.604;ui;kira_msg_sent;Nachricht an Kira gesendet;ui;ok;;;;;
2026-03-27T17:37:30.720;ui;kira_workspace_open;Kira Workspace geoeffnet;ui;ok;;;;;
2026-03-27T17:36:42.913;ui;kira_workspace_closed;Kira Workspace geschlossen;ui;ok;;;;;
2026-03-27T17:36:42.457;kira;mail_classified;Your receipt from Anthropic, PBC #2525-0542-4060;mail_monitor;ok;;;;;
2026-03-27T17:36:42.418;kira;mail_classified;Your receipt from Anthropic, PBC #2525-0542-4060;mail_monitor;ok;;;;;
2026-03-27T17:36:42.378;kira;mail_classified;Your receipt from Anthropic, PBC #2045-7203-0466;mail_monitor;ok;;;;;
2026-03-27T17:36:42.333;kira;mail_classified;Your receipt from Anthropic, PBC #2045-7203-0466;mail_monitor;ok;;;;;
2026-03-27T17:36:42.239;kira;mail_classified;Your receipt from Anthropic, PBC #2316-3064-2375;mail_monitor;ok;;;;;
2026-03-27T17:36:42.194;kira;mail_classified;Your receipt from Anthropic, PBC #2316-3064-2375;mail_monitor;ok;;;;;
